freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	cycle number	
1.5840454E+000	5.8073747E+008	5.2008662E+008	7.7958074E+008	-4.1846428E+001	2.000000000000000E+000
1.2595726E+000	6.8748838E+008	5.3335552E+008	8.7011974E+008	-3.7804417E+001	2.000000000000000E+000
1.0004489E+000	7.9600256E+008	5.3316858E+008	9.5806515E+008	-3.3814476E+001	2.000000000000000E+000
1.0000193E+006	2.6544459E+004	4.5053215E+004	5.2291496E+004	-5.9494255E+001	3.000000000000000E+000
7.9432600E+005	3.4908750E+004	4.6309938E+004	5.7993371E+004	-5.2990761E+001	3.000000000000000E+000
6.3095688E+005	4.1904965E+004	4.7063148E+004	6.3015602E+004	-4.8318176E+001	3.000000000000000E+000
5.0119131E+005	4.8601570E+004	4.8073742E+004	6.8360789E+004	-4.4687180E+001	3.000000000000000E+000
3.9810538E+005	5.4695836E+004	4.9416160E+004	7.3712898E+004	-4.2096931E+001	3.000000000000000E+000
3.1623041E+005	6.0045031E+004	5.1561523E+004	7.9145414E+004	-4.0653156E+001	3.000000000000000E+000
2.5119134E+005	6.5212332E+004	5.4718953E+004	8.5128211E+004	-3.9999645E+001	3.000000000000000E+000
1.9952144E+005	7.0371211E+004	5.9024262E+004	9.1847539E+004	-3.9988438E+001	3.000000000000000E+000
1.5848630E+005	7.5474680E+004	6.4556730E+004	9.9317664E+004	-4.0541790E+001	3.000000000000000E+000
1.2588864E+005	8.1112648E+004	7.1727875E+004	1.0827811E+005	-4.1486313E+001	3.000000000000000E+000
1.0001951E+005	8.6665617E+004	8.0986547E+004	1.1861598E+005	-4.3059898E+001	3.000000000000000E+000
7.9433578E+004	9.2657234E+004	9.2474914E+004	1.3090826E+005	-4.4943573E+001	3.000000000000000E+000
6.3095688E+004	9.9018773E+004	1.0674164E+005	1.4559703E+005	-4.7149494E+001	3.000000000000000E+000
5.0117172E+004	1.0610401E+005	1.2414377E+005	1.6330872E+005	-4.9479935E+001	3.000000000000000E+000
3.9814441E+004	1.1377329E+005	1.4565391E+005	1.8482267E+005	-5.2005867E+001	3.000000000000000E+000
3.1621082E+004	1.2166396E+005	1.7208956E+005	2.1075327E+005	-5.4740437E+001	3.000000000000000E+000
2.5117180E+004	1.3105007E+005	2.0476427E+005	2.4311011E+005	-5.7380569E+001	3.000000000000000E+000
1.9951164E+004	1.3945063E+005	2.4459466E+005	2.8155466E+005	-6.0311260E+001	3.000000000000000E+000
1.5849604E+004	1.4998342E+005	2.9486725E+005	3.3081978E+005	-6.3039963E+001	3.000000000000000E+000
1.2587890E+004	1.6051803E+005	3.5683156E+005	3.9127331E+005	-6.5779755E+001	3.000000000000000E+000
1.0019525E+004	1.7934158E+005	4.8676522E+005	5.1875213E+005	-6.9774414E+001	3.000000000000000E+000
8.0808101E+003	2.0205953E+005	5.8514075E+005	6.1904581E+005	-7.0949295E+001	3.000000000000000E+000
6.4205449E+003	2.3322163E+005	7.1095169E+005	7.4822769E+005	-7.1838364E+001	3.000000000000000E+000
5.0116030E+003	2.7442547E+005	8.7669181E+005	9.1863913E+005	-7.2618629E+001	3.000000000000000E+000
3.9812698E+003	3.2364428E+005	1.0697199E+006	1.1176074E+006	-7.3166786E+001	3.000000000000000E+000
3.1630396E+003	3.8188906E+005	1.2977734E+006	1.3527953E+006	-7.3602699E+001	3.000000000000000E+000
2.5124102E+003	4.4862772E+005	1.5733535E+006	1.6360648E+006	-7.4084969E+001	3.000000000000000E+000
1.9956379E+003	5.2259138E+005	1.9072254E+006	1.9775264E+006	-7.4676704E+001	3.000000000000000E+000
1.5844926E+003	6.0493581E+005	2.3194228E+006	2.3970125E+006	-7.5382156E+001	3.000000000000000E+000
1.2587904E+003	7.0216581E+005	2.8286990E+006	2.9145455E+006	-7.6059288E+001	3.000000000000000E+000
